"Date";"Heure";"TD";"Réf.Doc.";"Code";"Désignation";"Qté";"Ts %";"Prix";"Mont.Soumis";"Mont.TVA";"Mont.Total"
"2018-03-16";"19:40:52";"TV";"A1/89";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"19:40:52";"TV";"A1/89";"01015";"Pain FM";"1,000";"5,50";"1,14";"1,14";"0,06";"1,20"
"2018-03-16";"19:40:52";"TV";"A1/89";"01034";"Lot  Chouquette";"2,000";"5,50";"2,18";"4,36";"0,24";"4,60"
"2018-03-16";"19:42:19";"TV";"A1/90";"01006";"Festive";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-16";"19:43:14";"TV";"A1/91";"03006";"Croustade";"1,000";"5,50";"1,85";"1,85";"0,10";"1,95"
"2018-03-16";"19:46:29";"TV";"A1/92";"01042";"Sarmantine";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-16";"19:51:07";"TV";"A1/93";"01007";"Baguette Fantaisie";"1,000";"5,50";"1,00";"1,00";"0,05";"1,05"
"2018-03-16";"19:51:07";"TV";"A1/93";"01008";"Bebe/Ficel/Dejeun";"1,000";"5,50";"0,52";"0,52";"0,03";"0,55"
"2018-03-17";"06:44:31";"TV";"A2/36";"01024";"Croissant Beurre";"3,000";"5,50";"0,90";"2,70";"0,15";"2,85"
"2018-03-17";"06:56:00";"TV";"A2/37";"01025";"Chocolatine/ Brioche Nature";"10,000";"5,50";"0,90";"9,00";"0,50";"9,50"
"2018-03-17";"06:57:17";"TV";"A2/38";"01025";"Chocolatine/ Brioche Nature";"1,000";"5,50";"0,90";"0,90";"0,05";"0,95"
"2018-03-17";"06:57:17";"TV";"A2/38";"02002";"Pain aux Raisins / Choco Beurre";"1,000";"5,50";"1,04";"1,04";"0,06";"1,10"
"2018-03-17";"06:59:17";"TV";"A2/39";"01019";"Baguette FM";"2,000";"5,50";"0,85";"1,71";"0,09";"1,80"
"2018-03-17";"07:01:23";"TV";"A1/94";"01024";"Croissant Beurre";"9,000";"5,50";"0,90";"8,10";"0,45";"8,55"
"2018-03-17";"07:01:23";"TV";"A1/94";"01050";"Baguette Longue";"2,000";"5,50";"0,85";"1,71";"0,09";"1,80"
"2018-03-17";"07:02:58";"TV";"A2/40";"01028";"Beignet  Nutella";"1,000";"5,50";"1,66";"1,66";"0,09";"1,75"
