"Code";"Code barres";"Désignation";"Désignation 2";"Famille";"Image";"Désactiver";"Nº unités";"Unités";"Dern.prix achat";"Prix 1";"Prix 2";"Prix 3";"Prix 4";"Remise";"Nº TVA";"TVA";"Nº TVA achat";"TVA achat";"Stock minimum";"Stock";"Dt.entrée";"Dt.sortie";"Dt.modification";"Flg Obs.unica";"Flg.preço";"Flg.qtd";"Section 1";"Section 2";"Nº ingrédients";"Nº exemption";"Nº étiquette";"Qté.étiquettes";"Nº balance";"Nº emballage";"Tare fix";"Pourc.givrage";"Poids unitaire";"Code lot";"Durée 1";"Durée 2";"Qté.unité";"Qté.base";"Unit.base";"Qté.minimum";"Qté.maximum";"Qté.défaut";"Btn.font";"Btn.palette";"Btn.couleur";"Nº nutriments";"Flg.assoc.totaliser";"Flg.menu.totaliser"
"01044";"";"1,50";"";"01";"";"0";"2";"un";"0,00";"1,50";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-16,00";"0000-00-00";"2018-04-02";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01045";"";"Céréales Noirs";"";"01";"";"0";"0";"";"0,00";"2,10";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-91,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01046";"";"LŽOriginal";"";"01";"";"0";"2";"un";"0,00";"1,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-43,00";"0000-00-00";"2018-04-01";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01047";"";"Pain De Mie Viennois";"";"01";"";"0";"0";"";"0,00";"2,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-34,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01048";"";"Pain De Mie Boule";"";"01";"";"0";"0";"";"0,00";"1,10";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-31,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01049";"";"Préfou Pain a LŽAil";"";"01";"";"0";"0";"";"0,00";"2,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01050";"";"Baguette Longue";"";"01";"";"0";"2";"un";"0,00";"0,90";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-377,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01051";"";"Baguette Torchon";"";"01";"";"0";"0";"";"0,00";"1,15";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-1694,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01052";"";"Mais Baguette";"";"01";"";"0";"2";"un";"0,00";"1,50";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-49,00";"0000-00-00";"2018-04-04";"2018-03-17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01053";"";"Baguette Viennoise Chocolat";"";"01";"";"0";"2";"un";"0,00";"1,50";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-48,00";"0000-00-00";"2018-04-04";"2018-03-16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
